timestamp,open,high,low,close,volume,symbol
2018-01-02 00:00:00-05:00,39.8500839,40.35125429,39.6393091,40.34188461,102223600,AAPL
2018-01-02 00:00:00-05:00,20.79999924,21.47400093,20.73333359,21.3686676,65283000,TSLA
2018-01-02 00:00:00-05:00,4.84027276,4.932242805,4.808627702,4.928534031,355616000,NVDA
2018-01-03 00:00:00-05:00,40.40512003,40.87818857,40.27163253,40.33486176,118071600,AAPL
2018-01-03 00:00:00-05:00,21.39999962,21.68333244,21.03666687,21.14999962,67822500,TSLA
2018-01-04 00:00:00-05:00,40.4074653,40.62526561,40.29973904,40.52222061,89738400,AAPL
2018-01-04 00:00:00-05:00,20.8579998,21.23666763,20.37866783,20.9746666,149194500,TSLA
2018-01-04 00:00:00-05:00,5.334236844,5.390852561,5.258336926,5.280587673,583268000,NVDA
2018-01-05 00:00:00-05:00,40.61824654,41.07023522,40.52691184,40.98358536,94640000,AAPL
2018-01-05 00:00:00-05:00,21.1079998,21.14933205,20.79999924,21.10533333,68868000,TSLA
2018-01-05 00:00:00-05:00,5.295423914,5.362670371,5.218535117,5.32533884,580124000,NVDA
2018-01-08 00:00:00-05:00,21.06666756,22.46800041,21.03333282,22.42733383,147891000,TSLA
2018-01-08 00:00:00-05:00,40.83135223,41.12643269,40.73298851,40.83135223,82271200,AAPL
2018-01-09 00:00:00-05:00,5.493949584,5.533506378,5.40544122,5.487027168,497000000,NVDA
2018-01-09 00:00:00-05:00,40.87819792,40.99763451,40.61121929,40.82667542,86336000,AAPL
2018-01-09 00:00:00-05:00,22.34399986,22.58666611,21.82666779,22.24600029,107199000,TSLA
2018-01-10 00:00:00-05:00,5.394561872,5.533505286,5.340171408,5.530044079,582664000,NVDA
2018-01-10 00:00:00-05:00,40.5526683,40.81964691,40.51519674,40.8173027,95839600,AAPL
2018-01-10 00:00:00-05:00,22.14666748,22.46666718,22,22.31999969,64648500,TSLA
2018-01-11 00:00:00-05:00,5.562676707,5.594075127,5.518422312,5.539931774,406032000,NVDA
2018-01-11 00:00:00-05:00,40.88756321,41.09833806,40.86414616,41.04915619,74670800,AAPL
2018-01-11 00:00:00-05:00,22.34933281,22.9873333,22.21733284,22.53000069,99682500,TSLA
2018-01-12 00:00:00-05:00,5.528066088,5.562431062,5.472192117,5.512737751,359916000,NVDA
2018-01-12 00:00:00-05:00,22.57533264,22.69400024,22.24466705,22.41466713,72376500,TSLA
2018-01-12 00:00:00-05:00,41.25991846,41.53626671,41.13579707,41.47303391,101672400,AAPL
2018-01-16 00:00:00-05:00,22.50266647,23,22.31999969,22.67066765,97114500,TSLA
2018-01-16 00:00:00-05:00,41.66273803,42.01168525,41.25056157,41.26227188,118263600,AAPL
2018-01-17 00:00:00-05:00,22.69799995,23.26666641,22.64999962,23.1439991,106552500,TSLA
2018-01-17 00:00:00-05:00,5.456368059,5.56564362,5.362420831,5.555754662,538408000,NVDA
2018-01-17 00:00:00-05:00,41.25289113,41.97888726,40.99996709,41.94375992,137547200,AAPL
2018-01-18 00:00:00-05:00,23.04466629,23.48666763,22.91600037,22.97133255,85287000,TSLA
2018-01-18 00:00:00-05:00,5.53647158,5.603223832,5.505320718,5.54883337,408632000,NVDA
2018-01-18 00:00:00-05:00,42.00700439,42.17796707,41.74471058,41.98124313,124773600,AAPL
2018-01-19 00:00:00-05:00,5.639071651,5.713240496,5.612123753,5.689012051,609380000,NVDA
2018-01-19 00:00:00-05:00,41.82901545,42.05618188,41.54798588,41.79388809,129700400,AAPL
2018-01-19 00:00:00-05:00,23,23.37266731,22.84000015,23.33466721,73324500,TSLA
