Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2020-04-16,153.64422607421875,154.85922455657385,149.60872708772425,153.80044602927475,4662200
2020-04-17,159.24191284179688,160.79535960360636,154.72907908595943,159.24191284179688,5426700
2020-04-20,156.5602264404297,161.69791310414604,154.49475123494386,155.95273373293386,4674800
2020-04-21,150.84109497070312,155.51880868824637,150.71092269118856,152.25569553905157,3819000
2020-04-22,152.72433471679688,154.63360326127093,151.41388516524907,154.04347124887008,2314500
2020-04-23,151.917236328125,155.40599912991112,151.39652071865913,153.60954219536706,2013300
2020-04-24,153.6094970703125,154.43395217448094,150.56334740412817,153.6094970703125,2024400
2020-04-27,159.28530883789062,159.9014886506413,155.10227542379843,155.4320629215256,2743100
2020-04-28,162.29673767089844,165.25611142664675,160.43953789677107,164.162624426222,3344700
2020-04-29,164.91763305664062,168.12000359034104,164.5184292336386,167.15668898461286,3086300
2020-04-30,159.1811065673828,162.76533268197065,158.72982068614616,161.42016201669583,2695400
2020-05-01,153.6962890625,155.86591475089023,153.30574584471432,155.34519928873885,2650200
2020-05-04,152.7677001953125,153.01069724051675,149.0272672041193,151.8738153699513,2990100
2020-05-05,154.73773193359375,158.46949137357194,154.5988726887698,155.432014915367,3272600
2020-05-06,153.54013061523438,157.25453022187892,152.05611346578294,155.93539356720575,2408700
2020-05-07,158.22647094726562,159.1463901342518,155.50140832886925,155.50140832886925,2480100
2020-05-08,160.89080810546875,161.34209408578042,158.59100951393944,160.5783813871527,2277500
2020-05-11,158.9554901123047,160.42215947785184,157.30656632733078,158.41741383354525,2212200
2020-05-12,153.79176330566406,159.94481898719502,153.39254632593497,159.58899717257597,3549200
2020-05-13,149.09671020507812,153.5053920874518,148.19413831987097,152.4466134773128,3445300
2020-05-14,151.39649963378906,151.68289185487487,143.50774267583446,146.70142579155595,4176700
2020-05-15,149.15748596191406,151.0841154511782,148.03796445767404,150.55472602859032,2867800
2020-05-18,157.84461975097656,158.90339819614806,152.08209418099392,154.22568552143585,4505800
2020-05-19,154.3298797607422,158.11370905289718,154.2344156613531,156.69910828259034,2210500
2020-05-20,157.4627685546875,159.5369303474244,156.4734196920922,157.03751711882768,2599900
2020-05-21,156.29989624023438,157.22848948363722,154.19968616340932,156.38667335364966,2153500
2020-05-22,156.15231323242188,156.76849283167684,154.52943725193802,156.2391035677578,2176400
2020-05-26,170.1507568359375,171.05332871820744,160.74326115115528,161.09908301324913,5971200
2020-05-27,181.9535369873047,182.86478265065352,173.57877180991002,176.1736495433353,8182100
2020-05-28,174.62884521484375,183.38545190413222,174.6201714787506,182.97756118788612,4886100
2020-05-29,171.58985900878906,175.45846197787859,169.98302241851889,172.23607416698806,3822600
2020-06-01,174.59393310546875,176.20076986529872,170.39348083343546,172.30595596854818,2230800
2020-06-02,178.27044677734375,180.33137733705803,175.80781697957858,177.94733913041685,4128700
2020-06-03,183.8855743408203,185.07321587935203,180.27020204216637,182.06916023610628,3471900
2020-06-04,187.59701538085938,187.7454705899974,181.60634600121196,182.33115280902584,3522300
