Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,GOOGL,JPM,MSFT,XOM,AAPL,GOOGL,JPM,MSFT,XOM,AAPL,GOOGL,JPM,MSFT,XOM,AAPL,GOOGL,JPM,MSFT,XOM,AAPL,GOOGL,JPM,MSFT,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,162.87046813964844,105.10133361816406,130.5922088623047,282.1188049316406,103.56336212158203,163.02818690758198,105.28977855307458,130.80701004727862,284.8540468047271,105.19762740242732,161.68760746192598,103.66321515910445,128.56557044137327,279.5398949610126,103.31054942981703,162.73246797792896,103.80207449899135,130.70427656738232,283.2226679530425,104.27665900970713,41516200,37571200,16050500,23836200,13260400
2023-04-18,164.09278869628906,103.64337921142578,132.0584716796875,281.6987609863281,105.58588409423828,165.01936778477705,105.66665757008278,132.4133717236845,285.01035006411087,105.8296658084975,163.28449117964493,103.21690375984336,129.84504914380517,280.3702379257405,103.2022115806008,163.72807715584273,105.61706440974724,131.0031342737207,284.82474319365,103.28346985581067,49923000,26596400,13760100,20161800,17436100
2023-04-19,165.23619079589844,103.32601165771484,131.89039611816406,281.7769470214844,105.25180053710938,165.75862101045766,104.11945689106093,132.15189696503316,282.36304264200237,105.54976130737599,163.17602528319068,102.22510999070306,131.12456203038505,277.9573982326938,104.52947264954715,163.4323220199929,102.73093151613256,131.8997303445782,279.3738357310493,104.80937832250787,47720200,20905700,9158100,17150300,10682600
2023-04-20,164.27020263671875,104.42691040039062,131.50746154785156,279.4911193847656,104.4120864868164,165.47278202514906,105.37904011363008,132.0864970243593,282.3435812467073,104.44820356631863,163.19577163848064,103.01855233915232,130.6015429309586,278.4849485884654,102.2360858336788,163.71820194187683,103.05822535639409,130.6669252593258,278.6510289270091,103.95160233394876,52456400,27820800,10586200,23244400,17038700
2023-04-21,162.66351318359375,104.54593658447266,131.25527954101562,279.14923095703125,104.74617767333984,164.07308551692935,105.13109660328743,131.7876295784063,279.64741233312054,105.53170186471816,162.141082804298,103.92109597885471,129.61155830847594,276.5116808961058,104.06899784566643,162.69308357933554,104.60544233096776,130.50814259486725,278.41658147472793,105.17956890541834,58337300,25800100,11842500,21676400,14315300
2023-04-24,162.96902465820312,105.10133361816406,131.43272399902344,275.2514953613281,106.72352600097656,163.23517316391397,105.75591946719655,131.77828978527313,278.35795159650013,107.34653357625089,161.5495860155954,103.84173994826861,130.78830629708887,272.27206627525993,104.62878358011805,162.64373538253156,104.62526499144161,131.18057170318022,275.564099605755,104.66490066013976,41949600,23542800,7567500,26611000,15831300
2023-04-25,161.4313201904297,102.99871826171875,128.57489013671875,269.04840087890625,105.2066421508789,163.93504162144998,105.81544212100182,130.71361027176334,275.08542457289633,106.30818897157894,161.3918829793584,102.98879811509617,128.53753898948895,268.9995397003019,104.40305607124597,162.83104036567903,104.96249111597527,130.37739294379983,273.04377855903545,106.13664145378188,48714100,46664100,10629300,45772200,12179800
2023-04-26,161.4214630126953,102.85986328125,126.29607391357422,288.536865234375,104.24052429199219,162.91976126426218,105.47822196102051,128.7056288366443,292.63971378431694,105.7212899977907,160.47518046288778,101.788714484929,125.14733741851701,285.95795485763057,103.54528950725417,160.73146218660858,104.05994371224027,128.5281788392935,289.8361135268747,104.76421157269918,45498800,53347600,14416100,64599200,15566100
2023-04-27,166.00503540039062,106.70805358886719,127.9958724975586,297.7779541015625,105.4865493774414,166.15288731865132,107.48166608530138,128.7990576564003,298.1394194472939,105.6490727942204,162.83101720070817,102.6912570160058,126.69770262752995,288.4195939418956,103.72587788089749,162.83101720070817,103.59379357823073,127.01523730060727,289.1229384286453,104.3940335324493,64902300,50089200,9041100,46462600,16279200
2023-04-28,167.25692749023438,106.4601058959961,129.10726928710938,300.15179443359375,106.84993743896484,167.424513091262,106.47002604243367,129.18198584913924,301.7831436206851,108.27653116911513,165.4826438930684,104.22854965938166,126.70704782810371,296.2931626094283,105.48655376834239,166.08393356927388,106.16256960456029,127.53824998593628,296.9769805922049,105.86577279373556,55275900,36139800,9887300,36469600,24381900
2023-05-01,167.168212890625,106.32125854492188,131.87167358398438,298.49114990234375,103.53627014160156,168.01593249804148,107.10478367534759,133.8983116604561,301.460830664017,105.9109182655112,166.2317821133474,105.94437619998563,131.52612205157675,298.0906312953761,103.33762964119236,166.86264216717663,105.96420892683281,132.86164281251018,299.8685344351108,104.72810625542793,52472900,26681700,20415800,21294100,17355000
2023-05-02,166.13319396972656,104.45665740966797,129.7423095703125,298.34466552734375,99.40998077392578,167.91735928630777,106.32124371426752,133.00174938505765,302.02743982366337,102.87714449645155,165.14747425578494,102.85985449785488,129.2846760746085,296.8793664443899,98.67862888616297,167.6610625345139,106.2617379751714,132.05846547051718,300.640306719622,102.87714449645155,48425700,30997200,14113400,26404400,24324100
