Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-15,171.13255310058594,153.590576171875,175.33465576171875,407.38714599609375,85.9524917602539,161.47999572753906,175.0370216134587,157.93467710778722,179.71587214147985,420.36790078356154,90.56188993656951,170.69000244140625,170.94426424521788,153.32278518896982,174.67315791633376,407.18029886088704,85.8805337738884,161.3800048828125,173.77847120218846,157.55778721582507,176.87814585813857,420.15122525352587,89.0477450616577,170.24000549316406,73531800,27136500,14766600,20273500,443077000,100245300
2024-04-16,167.85240173339844,153.13433837890625,173.3310089111328,408.3128967285156,87.36569213867188,157.11000061035156,172.19288913903023,154.3740918150493,175.5935159903281,412.07515806913636,88.06829089560239,158.19000244140625,166.7524119884344,152.17228850176252,172.22850756281414,407.47576998606934,86.01545628049773,153.75,170.20102235595408,152.92606827651122,175.3442474381056,408.3030683339737,86.38424380509475,156.74000549316406,73711200,20779500,16451800,16765600,370453000,97000000
2024-04-17,166.48483276367188,154.19557189941406,172.64073181152344,405.61431884765625,83.98759460449219,155.4499969482422,169.1109267558204,155.7923749027095,174.88406075478235,412.5479054250206,88.7249183584023,158.3300018310547,166.48483276367188,153.3128680735991,171.79708073743586,404.1271355046504,83.90263584788114,153.77999877929688,168.08031301583728,154.3443362556772,173.87743429200685,410.9425408996239,88.2901585822677,157.63999938964844,50901200,21763100,9017100,15855500,495400000,82439700
2024-04-18,165.53347778320312,154.7311553955078,173.7624053955078,398.15875244140625,84.62323760986328,149.92999267578125,167.11905360596796,155.65353990489737,175.78524005173225,405.66358827577534,86.14138561304675,152.1999969482422,165.04790671737481,153.35255005525875,172.5352844752654,397.8436126348303,82.35552028108327,148.6999969482422,166.51455452467067,154.0666493097183,173.61860787689943,404.4226257260466,84.92207255324703,151.25,43122900,19883000,9557700,21029900,447260000,96098800
2024-04-19,163.51190185546875,152.82688903808594,178.12442016601562,393.0866394042969,76.15702819824219,147.0500030517578,164.89926951971245,155.07828562000708,178.20111704187556,399.35051316442866,84.27644766930946,150.94000244140625,162.6002009445124,151.0515686940003,173.91577601657252,391.7570408652649,75.56336900757456,146.22000122070312,164.7109957890585,154.91959354072858,174.86486876991842,397.9224202787546,83.10311370735981,148.97000122070312,68149400,32615600,13402300,30565800,875198000,87074500
2024-04-22,164.3443145751953,154.99893188476562,181.58529663085938,394.8988037109375,79.47315216064453,142.0500030517578,165.75150603037284,156.34778422424392,182.27555391774052,396.7602475945419,80.02783946358336,144.44000244140625,163.28397258003716,152.7971285786509,178.2969855796847,389.76757007965125,76.35691439393003,138.8000030517578,164.0272084619306,153.04507926507185,178.3065818323909,394.0321015888098,78.05994814693265,140.55999755859375,48116400,26446200,11529700,20286900,596341000,107097600
2024-04-23,165.39476013183594,156.9626922607422,184.20254516601562,401.4089050292969,82.37651062011719,144.67999267578125,165.54341638804536,157.66687884737183,184.288823684532,402.0293863346637,82.72231614993429,147.25999450683594,163.43262154349364,154.99892712206798,182.64947331897505,396.9670716039761,80.21873169463018,141.11000061035156,163.85875133255257,155.67336083793805,183.23427432520236,398.1292267170022,80.7234441336971,143.3300018310547,49537800,21151600,9144400,15734500,438559000,124545100
2024-04-24,167.49563598632812,157.82559204101562,185.1036834716797,402.8763427734375,79.63206481933594,162.1300048828125,167.7731094949557,158.26198771551822,185.24748097776123,406.2347982871372,84.03457921776213,167.97000122070312,164.7109814111337,155.88165180015244,182.31389482622563,400.6308101493401,79.13834013698539,157.50999450683594,165.03799187966663,156.19903597568538,182.65902346925535,403.36878440202247,83.90264988256477,162.83999633789062,48251800,22779100,6964900,15065300,512208000,181178000
