Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-11,197.2901153564453,156.5970001220703,231.69400024414062,385.498779296875,110.90386199951172,252.30999755859375,198.67408279715283,157.1251674838408,234.02860167946685,387.0865991344375,111.52371865557488,257.739990234375,185.2525839628914,152.29193584419684,220.70766608161722,376.0114134245454,107.45467796999777,241.36000061035156,185.2924188893916,152.37164602184413,221.99267276486097,377.7481178718862,108.47443427245335,251.83999633789062,87435900,33636200,20284500,23839200,313417300,128948100
2025-04-14,201.64117431640625,158.5203399658203,230.2422332763672,384.8636474609375,110.68391418457031,252.35000610351562,212.01595519155484,161.16117679260088,235.20570094935914,391.651677567929,114.2630725146749,261.79998779296875,200.28707539108044,157.0155480479404,229.17303086586182,381.29099206627785,109.04430120283689,245.92999267578125,210.52246440005902,159.44711904636745,232.5768346591959,390.23254912743425,114.08311462021162,258.3599853515625,101352900,30333000,13017800,19251200,264705000,100135200
2025-04-15,201.2628173828125,155.76988220214844,228.68258666992188,382.7994384765625,112.1735610961914,254.11000061035156,202.62686743682656,159.09833747842598,234.0972709216147,388.9126416904877,113.5932323217664,258.75,198.93297540670014,154.6736922783896,228.3785029309102,381.24135923720473,110.47396469045397,247.5399932861328,200.98403365195668,158.58014524074957,231.59592921415862,385.5583162962043,110.94385517244878,249.91000366210938,51343900,27551500,10912900,17199900,228966900,79594300
2025-04-16,193.42697143554688,152.80018615722656,225.229736328125,368.78668212890625,104.46538543701172,241.5500030517578,199.82906121923162,155.35133791385522,229.1240019340848,378.7107072268867,106.76484672728219,251.97000122070312,191.5352073519423,150.98646767664792,223.58177786322105,365.20412360568145,100.4263361362673,233.88999938964844,197.49921927320653,152.5709851557027,227.57414175874206,377.77787673053996,104.52537649088836,247.61000061035156,59732400,28187400,9322300,21967800,397016900,112378700
2025-04-17,196.12521362304688,150.63766479492188,227.534912109375,364.9858093261719,101.46607971191406,241.3699951171875,197.96719174329118,154.14549035907424,229.86949873745436,371.4761304955969,104.44538077133734,244.33999633789062,193.5763250102755,147.98685287180376,226.15180704795938,364.10258680355696,100.02642426353728,237.67999267578125,196.34426016251078,153.75683862644127,226.39703780490407,370.9104537724408,104.4253812132841,243.47000122070312,52164700,33046600,9557900,21120200,292517500,83404800
2025-04-21,192.32177734375,147.1597137451172,224.62155151367188,356.3916320800781,96.88717651367188,227.5,192.958999427942,148.43528939549356,227.3877464470659,361.7109259917268,99.41657935183265,232.2100067138672,188.98630873883343,145.5951469015095,222.02209671781299,352.9678611353571,95.01761424618036,222.7899932861328,192.43130060162235,148.3655391927389,226.23026455156602,360.06353397111536,98.74673137333838,230.25999450683594,46742500,26049100,8716200,20807300,288501100,97768000
2025-04-22,198.8732452392578,150.9466094970703,231.0956573486328,364.0331115722656,98.86669921875,237.97000122070312,200.715208155226,151.6641228147109,231.48803554855775,364.9758758256959,99.78648062043173,242.7899932861328,195.1196006832811,148.02672595604838,226.95616088753636,357.12596800122816,97.2570779520085,229.85000610351562,195.26894368988752,148.3755226432022,227.55452454568626,360.6192443688487,98.75672452641882,230.9600067138672,52976400,26971800,10701400,19485000,241004800,120858500
2025-04-23,203.71214294433594,154.81320190429688,236.28472900390625,371.5456237792969,102.68580627441406,250.74000549316406,207.09738254349836,156.98566172409713,242.08197236154456,377.50003937654276,104.77531795205407,259.45001220703125,201.9199510184256,153.27851478210604,235.4215120035636,370.18600677791767,101.99596635952085,244.42999267578125,205.10606155750318,155.07229801307963,235.63731625364926,373.20291916052497,104.49537749742674,254.86000061035156,52929200,31128800,14126800,20545500,247526000,150381900
