Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,JNJ,JNJ,JNJ,JNJ,JNJ,JPM,JPM,JPM,JPM,JPM,TSLA,TSLA,TSLA,TSLA,TSLA,XOM,XOM,XOM,XOM,XOM
Price,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-18,161.73304748535156,163.23211669383912,160.2633706181813,160.60628625032533,69023900,158.19369506835938,160.62456359677395,157.3745016269454,160.03687691482213,6318700,116.09153747558594,116.79643590922333,113.45267755927001,113.57015833327083,11834400,334.7633361816406,338.3066711425781,324.4700012207031,329.6766662597656,51715200,77.16046142578125,77.45672651229268,76.46335693692443,77.11688990219729,19032300
2022-04-19,164.01593017578125,164.42745284930518,160.59649161266293,161.68405307765963,67723800,163.0198211669922,165.56644987233403,160.23277271197435,160.91840717526344,14380800,118.49542236328125,118.67617687695247,115.88367960047871,116.0824985338104,15015400,342.7166748046875,344.9800109863281,331.77667236328125,335.0199890136719,49847700,76.47205352783203,77.25629422048043,76.04507397689713,76.68989779534105,20382600
2022-04-20,163.84933471679688,165.4659878847408,162.74218855364813,165.3484035950485,67929800,163.74107360839844,164.12396534313316,161.96911408358025,162.2718704273968,8044900,118.9111099243164,120.65527748799845,118.69421283370293,119.76060629218166,13430200,325.73333740234375,344.6666564941406,325.0833435058594,343.3333435058594,70711200,76.64632415771484,77.11686856025882,76.07121876443617,76.65503978963584,20689400
2022-04-21,163.05572509765625,168.062424195949,162.55604041418727,165.4953937411617,87227800,163.26919555664062,164.6137395553612,162.5568490564848,163.77673343669406,6969200,117.98932647705078,120.02269036750445,117.44710438004198,119.4895004790748,12174200,336.260009765625,364.0733337402344,332.1400146484375,358.24334716796875,105416400,75.83595275878906,78.24967120179062,75.62682410298854,77.50899530135354,29010900
2022-04-22,158.5193328857422,164.47642463552896,158.23520194954875,163.0949398073809,84882400,161.6485595703125,163.08215155662737,161.50610118152144,162.47666604035794,8003600,114.60040283203125,117.95320049865266,114.4919611552525,117.73630335546179,14318800,335.01666259765625,344.95001220703125,331.3333435058594,338.3033447265625,69696600,74.18033599853516,76.78575852028287,74.06705935988185,75.5135486514004,23591600
2022-04-25,159.58729553222656,159.87142644375086,155.25665006996203,157.8628653370747,96046400,165.62881469726562,166.2343139258755,162.1472450835522,162.36093950445598,11176500,114.56424713134766,114.88055372440961,111.25664516641041,113.87742689939034,17149000,332.67333984375,336.2066650390625,325.1000061035156,326.3233337402344,68341200,71.67948913574219,72.02804133953418,69.09149783129307,71.775341157987,37698300
2022-04-26,153.6302032470703,159.05820246882445,153.55181869779824,158.9700254572649,95623200,164.4445037841797,166.12742848275693,163.99928906058787,164.81849610844694,10190000,111.1753158569336,114.23892430583341,111.03976375749203,112.63934058425428,17209500,292.1400146484375,333.3333435058594,291.6666564941406,331.80999755859375,136133700,71.70562744140625,73.82307421047732,71.60977542176302,72.08903551997916,28941500
2022-04-27,153.4048614501953,156.55975368530983,152.2389155403168,152.7582001127346,88063200,162.147216796875,164.56918611504406,161.82666163456216,164.05273537649137,11090100,109.72936248779297,111.66331712699217,109.5486217699453,110.55174861207772,17215200,293.836669921875,306.0,292.4533386230469,299.52667236328125,76956300,73.75334930419922,74.48530944671869,71.69689903684879,72.6641280459873,32773000
