Price,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK
Date,,,,,
2024-04-18,715.6642456054688,729.1864934558118,715.1662987154226,722.7892875183652,614900
2024-04-19,718.230712890625,723.4500070780141,713.9882572511585,719.5810554070268,867800
2024-04-22,727.9320068359375,733.8599659291314,718.7767157040165,724.7142608162336,617200
2024-04-23,734.1663818359375,736.8478366900265,728.7268424315479,730.9486360110308,461000
2024-04-24,730.5081176757812,735.1432500358624,727.2903717215767,730.5081176757812,751200
2024-04-25,725.576171875,728.4395858501783,716.3538372180291,722.3775394963831,510100
2024-04-26,730.5847778320312,734.9900212778876,725.6719429777968,727.6064484190312,447900
2024-04-29,729.0523681640625,736.8286153291613,723.852187724713,731.0442723635562,483700
2024-04-30,722.693603515625,729.2153113233477,721.889137779056,725.9496351842712,418600
2024-05-01,719.7630615234375,733.4098102308116,719.1309688505621,723.0382648468351,614800
2024-05-02,724.95361328125,728.8417373235427,717.0816219175823,726.064480814192,632500
2024-05-03,731.571044921875,738.8876315565129,730.4123057792011,733.2853054937243,558300
2024-05-06,741.8468627929688,742.3448096738625,733.4098224562097,736.1870205019787,450100
2024-05-07,747.8609619140625,752.984513137347,743.8004650071077,747.4300002670456,777400
2024-05-08,745.3806762695312,746.2617131930365,741.1190481227887,745.0646299187455,665700
2024-05-09,755.723388671875,758.0026396748345,744.9688123130366,744.9688123130366,654800
2024-05-10,762.9442749023438,765.3958991921888,758.5486177046007,758.9795793880527,607100
2024-05-13,756.8726806640625,766.6025478626939,756.3746753142668,765.1756339425986,416800
2024-05-14,768.968017578125,769.3031775177917,758.634757240833,758.969975631832,492200
2024-05-15,781.1686401367188,783.5436345480801,773.4881354691445,774.8671776808803,667300
2024-05-16,773.516845703125,780.4982135895655,773.4689156160774,777.0410514816158,486300
2024-05-17,777.8359375,779.0139071644575,772.1761536147346,776.1217353291299,394400
2024-05-20,771.103515625,778.4009299074584,770.1554351125169,774.7330507312049,366300
2024-05-21,770.8545532226562,772.5208837196379,766.3535086064055,770.5576789209105,461800
2024-05-22,765.7597045898438,774.6277058311069,761.8715808944683,769.5233269627226,391600
2024-05-23,751.3373413085938,764.6393447998594,748.7133441000818,764.6393447998594,538300
2024-05-24,748.7994995117188,755.9724126255795,747.8609465449559,754.0474935061031,429000
2024-05-28,738.7536010742188,750.4659038922239,733.0746448821961,748.7995732817461,636200
2024-05-29,724.5513916015625,733.5055506715968,724.3119749584993,730.9772968925298,574900
2024-05-30,729.60791015625,730.1346151308579,721.9178772437718,723.0000452495304,650000
2024-05-31,739.3473510742188,741.5116284261727,729.8185569998165,730.7570515352359,1616000
2024-06-03,744.4613037109375,746.6926833258818,736.1774639784127,746.4915522910417,571000
2024-06-04,752.0460205078125,753.5591501771052,741.8277337462438,744.4613170266413,666400
2024-06-05,755.4839477539062,755.6754927427913,746.4435737209765,755.3594464336971,539800
2024-06-06,745.5722045898438,754.3444049088474,743.6568713938636,754.3444049088474,406300
2024-06-07,741.0028076171875,746.1311953304004,735.7202087800306,740.0388262914727,468100
2024-06-10,738.5735473632812,741.1666594531323,732.8667944549037,739.1230237730359,588900
2024-06-11,730.3412475585938,735.8744914926114,725.203210118396,734.5634908829204,499000
2024-06-12,742.3717651367188,754.3733463574689,738.4965995872692,741.6391297963646,833200
2024-06-13,741.9861450195312,744.9166272960541,730.8907096850064,739.3351961679439,462500
2024-06-14,741.6198120117188,742.2367153793699,732.6162000287377,736.9637654691269,376800
2024-06-17,752.9466552734375,755.7036281282972,738.4579856875631,739.5762371297814,541600
2024-06-18,755.4240112304688,755.8770542249879,749.0328101496078,750.8836378740996,479700
2024-06-20,754.6336059570312,755.8096350703291,749.51486687219,753.8527833453354,496800
2024-06-21,759.2317504882812,762.6539316330826,751.7994913209044,755.4914978341477,869500
2024-06-24,770.1730346679688,777.4221355716845,760.1765511747979,760.1765511747979,528700
2024-06-25,765.7772216796875,766.6158808161692,760.1764919293838,765.8447074401439,388900
2024-06-26,759.087158203125,762.6249534342363,756.2626997875602,760.851260623162,529000
2024-06-27,752.994873046875,758.7016270468594,752.2333488438727,756.3881067512361,428400
2024-06-28,758.9618530273438,763.7914093196151,753.0622914876277,756.2337691546799,769500
