strike,call,call_iv,call_delta,put,put_iv,put_delta,parity_diff,parity_assert
80,24.49113851561633,0.19257105177986625,0.9574330971178746,0.4570087528650179,0.18145896007680895,-0.03946059229444299,-0.04758623046043908,False
82,22.507913010202447,0.17243615976688265,0.9352495613140377,0.5913589925131552,0.17883978349760177,-0.058785488687654874,0.016079731776642348,False
84,20.71423937231515,0.1669844220228493,0.9302711886244097,0.7618985383534502,0.1765250375806987,-0.07975226145631065,0.11948974491501474,False
86,19.110321727555966,0.17122350351145865,0.9138844373738131,0.9640822497209672,0.173853855959326,-0.09522392499853649,-0.009269999964573117,True
88,17.59194952901383,0.17545766761785747,0.8801516940158116,1.2635295259228931,0.1737664606664032,-0.12375915592516828,-0.06907223639844062,False
90,16.026326440288617,0.17410732466053963,0.8540371107727829,1.5690199155896358,0.17133809341812137,-0.15044396330393672,-0.11237718347341286,False
92,14.530854968630605,0.17305627146594224,0.806358878597262,2.020268097026058,0.1721973687065095,-0.1888017482751736,0.04925756474612797,False
94,13.063986284738304,0.1706670570108667,0.7710549970563552,2.5808444262385426,0.17399437388128042,-0.240741189538638,0.02020297162459883,False
96,11.823309431105393,0.17309270479777455,0.7141698224957249,3.1584224024431595,0.17360880641250312,-0.2873740069356612,0.0976862266406755,False
98,10.546917411248614,0.1718232378766611,0.6696949175654598,3.861673494872439,0.17449035893242057,-0.33580876155468564,0.014722586824674977,False
100,9.360197611846845,0.17080645734595512,0.6158073576856893,4.653513291459476,0.1753888987727016,-0.3847912635035122,0.06785176719280628,False
102,8.468756427432389,0.17528075361696627,0.5470294510032314,5.568754504411458,0.17721466318282492,-0.4368063003043243,0.14550876469458274,False
104,7.769748654317453,0.18223314975179733,0.5084265066613458,6.61680175420737,0.18018468753217157,-0.48863727216147623,-0.01754822562278946,False
106,6.861880211262275,0.1817165638494268,0.4674723685086013,7.639412260529935,0.1803920371487141,-0.5344805538623865,0.0922087152466986,False
108,6.0728422554047095,0.18222964797961713,0.4122755415636492,8.93286191645735,0.18542393476007882,-0.589104857794922,-0.10852158431112002,False
110,5.56150494113231,0.18789082150234282,0.3709792547093427,10.211731151440759,0.1882706520252079,-0.6230140310143906,0.04896272777349964,False
112,4.993261253933199,0.19045076597765093,0.324721445946099,11.633593952516133,0.19309512551423907,-0.6650180416170226,0.07255580100124348,False
114,4.545287770025376,0.1945835649553016,0.31233201935153776,13.048636667443008,0.19624917916752402,-0.6932854551190193,0.08719190290587164,False
116,4.136900063821343,0.19839192846574638,0.277888849134591,14.436782216110306,0.1972322458277717,-0.7293946881611202,-0.06460112225887826,False
118,3.69476831182147,0.19995695986002687,0.2536342374624456,16.117717986462118,0.20493498978444935,-0.7561534614153587,-0.05726832473845889,False
120,3.2975894106076615,0.20146838433763387,0.22512752670447167,17.41388821777615,0.20055375124648217,-0.7765191630929458,-0.06202218667775128,False
