strike,call,call_iv,call_delta,put,put_iv,put_delta,parity_diff,parity_assert
80,24.588835773804888,0.2000000242072642,0.928637372331309,0.6871897338620068,0.2000000242072642,-0.07136262766973545,0.0,True
82,22.9041976779708,0.2000000242072642,0.9102432531399529,0.9050104870293492,0.2000000242072642,-0.0897567468606475,0.0,True
84,21.26774636563755,0.2000000242072642,0.8891020776438552,1.171018023697517,0.2000000242072642,-0.11089792235718932,1.4210854715202004e-14,True
86,19.684873748274114,0.2000000242072642,0.8652282173009951,1.4906042553355263,0.2000000242072642,-0.1347717826989836,0.0,True
88,18.160602864295953,0.2000000242072642,0.8387092090615056,1.8687922203587917,0.2000000242072642,-0.1612907909384731,0.0,True
90,16.699449065947746,0.2000000242072642,0.8097030263378713,2.310097271012019,0.2000000242072642,-0.19029697366246268,0.0,True
92,15.30530355093046,0.2000000242072642,0.7784318724830541,2.8184106049961457,0.2000000242072642,-0.22156812751727983,0.0,True
94,13.981343730194958,0.2000000242072642,0.7451731227149594,3.396909633262066,0.2000000242072642,-0.25482687728572984,1.4210854715202004e-14,True
96,12.729972852605762,0.2000000242072642,0.7102481818158424,4.047997604674293,0.2000000242072642,-0.28975181818431395,0.0,True
98,11.552789331087745,0.2000000242072642,0.674010082877885,4.7732729321577025,0.2000000242072642,-0.3259899171236924,0.0,True
100,10.450584480539781,0.2000000242072642,0.6368306357632747,5.5735269306111945,0.2000000242072642,-0.3631693642368816,0.0,True
102,9.42336598185151,0.2000000242072642,0.5990878575616421,6.448767280924336,0.2000000242072642,-0.4009121424388695,0.0,True
104,8.470403376192465,0.2000000242072642,0.56115429854664,7.398263524266724,0.2000000242072642,-0.4388457014538716,0.0,True
106,7.590291273995838,0.2000000242072642,0.5233867342791854,8.420610271071517,0.2000000242072642,-0.4766132657216815,0.0,True
108,6.781025705002406,0.2000000242072642,0.4861175433944709,9.513803551079512,0.2000000242072642,-0.5138824566060407,0.0,True
110,6.040089087752079,0.2000000242072642,0.44964794506832106,10.675325782830633,0.2000000242072642,-0.5503520549325458,-1.4210854715202004e-14,True
112,5.3645395945449295,0.2000000242072642,0.41424313985878314,11.902235138624896,0.2000000242072642,-0.5857568601420837,0.0,True
114,4.751101162496816,0.2000000242072642,0.3801292890372565,13.191255555578216,0.2000000242072642,-0.6198707109632551,0.0,True
116,4.1962509868090265,0.2000000242072642,0.3474921837369749,14.538864228891839,0.2000000242072642,-0.652507816263892,0.0,True
118,3.696301969952149,0.2000000242072642,0.31647739669384833,15.941374061036413,0.2000000242072642,-0.6835226033061303,-1.4210854715202004e-14,True
120,3.2474782413953385,0.2000000242072642,0.2871916744489056,17.39500918148103,0.2000000242072642,-0.712808325551606,0.0,True
